"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","Delayed"
"2015","1","1","4","US","617","ANC","PHX","152","143",-9,21,204,323,322,298,2552,902,3,"915","905","N"
"2015","1","1","4","UA","1528","SJU","EWR","154","157",3,12,209,255,241,220,1608,449,9,"509","458","N"
"2015","1","1","4","AS","134","ANC","SEA","155","140",-15,17,157,218,198,170,1448,547,11,"633","558","N"
"2015","1","1","4","B6","304","SJU","JFK","155","153",-2,12,205,235,248,231,1598,456,5,"450","501","Y"
"2015","1","1","4","NK","451","PBG","FLL","155","139",-16,10,149,208,191,174,1334,443,7,"523","450","N"
"2015","1","1","4","NK","972","PHX","DFW","159","158",-1,11,209,123,125,103,868,452,11,"502","503","Y"
"2015","1","1","4","AS","144","ANC","PDX","200","150",-10,24,214,210,209,182,1542,616,3,"630","619","N"
"2015","1","1","4","NK","647","IAG","FLL","200","155",-5,21,216,184,178,149,1176,445,8,"504","453","N"
"2015","1","1","4","B6","1990","SJU","EWR","206","152",-14,19,211,246,264,239,1608,510,6,"512","516","Y"
"2015","1","1","4","US","699","PHX","CLT","220","209",-11,10,219,224,199,183,1773,722,6,"804","728","N"
"2015","1","1","4","AS","114","ANC","SEA","220","209",-11,15,224,200,199,176,1448,620,8,"640","628","N"
"2015","1","1","4","B6","668","PSE","MCO","255","248",-7,10,258,185,183,169,1179,447,4,"500","451","N"
"2015","1","1","4","UA","1162","BQN","EWR","259","258",-1,14,312,240,247,225,1585,557,8,"559","605","Y"
"2015","1","1","4","B6","1030","BQN","MCO","307","304",-3,25,329,173,196,160,1129,509,11,"500","520","Y"
"2015","1","1","4","B6","262","SJU","BOS","330","316",-14,14,330,245,243,224,1674,614,5,"635","619","N"
"2015","1","1","4","B6","2134","SJU","MCO","400","535",95,9,544,185,175,163,1189,727,3,"605","730","Y"
"2015","1","1","4","B6","730","BQN","MCO","419","423",4,11,434,174,163,148,1129,602,4,"613","606","N"
"2015","1","1","4","B6","768","PSE","MCO","424","413",-11,24,437,186,196,166,1179,623,6,"630","629","N"
"2015","1","1","4","B6","2276","SJU","BDL","438","550",72,15,605,241,258,237,1666,902,6,"739","908","Y"
"2015","1","1","4","US","602","ORD","PHX","500","459",-1,12,511,228,232,214,1440,745,6,"748","751","Y"
"2015","1","1","4","AS","695","GEG","SEA","500","456",-4,22,518,70,74,39,224,557,13,"610","610","N"
"2015","1","1","4","HA","102","HNL","ITO","500","452",-8,10,502,49,51,35,216,537,6,"549","543","N"
"2015","1","1","4","OO","5467","ONT","SFO","500","513",13,19,532,89,85,61,363,633,5,"629","638","Y"
"2015","1","1","4","HA","108","HNL","KOA","502","501",-1,12,513,42,48,30,163,543,6,"544","549","Y"
"2015","1","1","4","AS","730","ANC","SEA","505","457",-8,16,513,205,199,179,1448,912,4,"930","916","N"
"2015","1","1","4","HA","206","HNL","OGG","505","454",-11,10,504,36,36,20,100,524,6,"541","530","N"
"2015","1","1","4","UA","1500","ORD","IAH","510","514",4,23,537,175,182,147,925,804,12,"805","816","Y"
"2015","1","1","4","AA","1323","MCO","MIA","510","507",-3,14,521,63,55,38,192,559,3,"613","602","N"
"2015","1","1","4","NK","103","BOS","MYR","510","506",-4,16,522,140,134,112,738,714,6,"730","720","N"
"2015","1","1","4","OO","7404","HIB","MSP","510","500",-10,37,537,68,78,35,174,612,6,"618","618","N"
"2015","1","1","4","OO","7419","ABR","MSP","510","508",-2,21,529,69,67,41,257,610,5,"619","615","N"
"2015","1","1","4","US","480","SEA","PHX","515","510",-5,15,525,165,168,146,1107,851,7,"900","858","N"
"2015","1","1","4","AA","1057","DFW","MIA","515","703",108,15,718,161,155,133,1121,1031,7,"856","1038","Y"
"2015","1","1","4","AA","2454","BOS","MIA","515","510",-5,14,524,208,215,182,1258,826,19,"843","845","Y"
"2015","1","1","4","EV","4354","MKE","IAH","515","517",2,12,529,178,189,163,984,812,14,"813","826","Y"
"2015","1","1","4","US","425","PDX","PHX","520","620",60,13,633,150,150,132,1009,945,5,"850","950","Y"
"2015","1","1","4","AA","89","IAH","MIA","520","618",58,19,637,141,137,111,964,928,7,"841","935","Y"
"2015","1","1","4","DL","2099","BNA","DTW","520","511",-9,30,541,103,106,66,456,747,10,"803","757","N"
"2015","1","1","4","EV","4685","BRO","IAH","520","517",-3,15,532,74,72,49,308,621,8,"634","629","N"
"2015","1","1","4","EV","5583","VPS","ATL","520","514",-6,9,523,66,57,42,250,705,6,"726","711","N"
"2015","1","1","4","OO","5484","BOI","SFO","520","525",5,24,549,112,110,79,522,608,7,"612","615","Y"
"2015","1","1","4","OO","7370","BJI","MSP","520","517",-3,31,548,60,72,34,199,622,7,"620","629","Y"
"2015","1","1","4","HA","103","HNL","LIH","523","513",-10,7,520,37,35,21,102,541,7,"600","548","N"
"2015","1","1","4","EV","5187","BNA","ATL","525","525",0,32,557,65,70,35,214,732,3,"730","735","Y"
"2015","1","1","4","UA","1201","PHL","IAH","530","532",2,12,544,230,234,210,1325,814,12,"820","826","Y"
"2015","1","1","4","UA","1221","PDX","DEN","530","534",4,9,543,142,142,125,991,848,8,"852","856","Y"
"2015","1","1","4","UA","1607","SEA","DEN","530","529",-1,10,539,157,157,138,1024,857,9,"907","906","N"
"2015","1","1","4","AA","328","DEN","DFW","530","623",53,32,655,125,138,96,641,931,10,"835","941","Y"
"2015","1","1","4","EV","5764","SBN","ORD","530","527",-3,12,539,55,44,22,84,501,10,"525","511","N"
"2015","1","1","4","F9","1279","PHL","MCO","530","526",-4,12,538,160,146,128,861,746,6,"810","752","N"
"2015","1","1","4","NK","409","ORD","FLL","530","526",-4,12,538,188,167,149,1182,907,6,"938","913","N"
"2015","1","1","4","OO","6391","EUG","DEN","530","526",-4,26,552,163,180,143,996,915,11,"913","926","Y"
"2015","1","1","4","UA","1532","SFO","DEN","531","550",19,15,605,146,153,127,967,912,11,"857","923","Y"
"2015","1","1","4","UA","1167","ORD","DEN","533","540",7,10,550,167,163,142,888,712,11,"720","723","Y"
"2015","1","1","4","UA","1012","IAD","IAH","535","541",6,12,553,207,215,194,1190,807,9,"802","816","Y"
"2015","1","1","4","B6","2001","BUF","JFK","535","530",-5,17,547,88,78,56,301,643,5,"703","648","N"
"2015","1","1","4","B6","2807","PWM","JFK","535","528",-7,13,541,85,67,50,273,631,4,"700","635","N"
"2015","1","1","4","B6","2023","JFK","SJU","535","618",43,13,631,225,201,184,1598,1035,4,"1020","1039","Y"
"2015","1","1","4","EV","4557","CRP","IAH","535","523",-12,12,535,61,52,33,201,608,7,"636","615","N"
"2015","1","1","4","EV","5241","PIA","DTW","535","530",-5,18,548,88,75,54,346,742,3,"803","745","N"
"2015","1","1","4","EV","5498","ORD","DTW","535","550",15,18,608,85,67,41,235,749,8,"800","757","N"
"2015","1","1","4","OO","6512","FAT","LAX","535","530",-5,33,603,75,80,42,209,645,5,"650","650","N"
"2015","1","1","4","UA","1577","SMF","DEN","538","634",56,26,700,142,164,129,909,1009,9,"900","1018","Y"
"2015","1","1","4","OO","4986","AUS","LAX","538","535",-3,16,551,212,199,173,1242,644,10,"710","654","N"
"2015","1","1","4","B6","727","BOS","BWI","540","536",-4,14,550,101,84,66,369,656,4,"721","700","N"
"2015","1","1","4","B6","1012","ORD","BOS","540","529",-11,16,545,136,114,95,867,820,3,"856","823","N"
"2015","1","1","4","DL","824","PHX","DTW","540","808",148,19,827,223,203,178,1671,1325,6,"1123","1331","Y"
"2015","1","1","4","DL","941","MCI","ATL","540","546",6,11,557,122,101,84,692,821,6,"842","827","N"
"2015","1","1","4","DL","2079","BOS","DTW","540","537",-3,15,552,143,125,105,632,737,5,"803","742","N"
"2015","1","1","4","EV","3268","ATL","IAD","540","556",16,9,605,105,103,79,534,724,15,"725","739","Y"
"2015","1","1","4","EV","4160","JAX","EWR","540","531",-9,9,540,137,132,109,820,729,14,"757","743","N"
"2015","1","1","4","OO","6285","MFR","DEN","540","538",-2,42,620,161,188,138,964,938,8,"921","946","Y"
"2015","1","1","4","OO","5184","SLC","IAH","540","537",-3,18,555,193,180,158,1195,933,4,"953","937","N"
"2015","1","1","4","OO","6358","IDA","DEN","541","539",-2,30,609,104,113,72,458,721,11,"725","732","Y"
"2015","1","1","4","F9","161","MSN","DEN","544","534",-10,7,541,145,144,128,826,649,9,"709","658","N"
"2015","1","1","4","OO","4833","MKE","DTW","545","543",-2,10,553,74,55,36,237,729,9,"759","738","N"
"2015","1","1","4","UA","1119","GEG","DEN","545","542",-3,21,603,139,136,107,836,850,8,"904","858","N"
"2015","1","1","4","UA","1237","SEA","IAH","545","541",-4,13,554,251,266,238,1874,1152,15,"1156","1207","Y"
"2015","1","1","4","UA","1540","DCA","IAH","545","550",5,10,600,209,197,182,1208,802,5,"814","807","N"
"2015","1","1","4","AA","1433","SAT","DFW","545","539",-6,12,551,65,59,41,247,632,6,"650","638","N"
"2015","1","1","4","AA","2299","JFK","MIA","545","640",55,17,657,185,199,152,1089,929,30,"850","959","Y"
"2015","1","1","4","B6","721","BOS","PBI","545","551",6,16,607,205,190,170,1197,857,4,"910","901","N"
"2015","1","1","4","B6","917","BOS","JFK","545","543",-2,12,555,77,66,44,187,639,10,"702","649","N"
"2015","1","1","4","B6","939","JFK","BQN","545","545",0,17,602,221,202,180,1576,1002,5,"1026","1007","N"
"2015","1","1","4","DL","1890","DFW","ATL","545","603",18,13,616,124,104,86,731,842,5,"849","847","N"
"2015","1","1","4","EV","4646","CHS","EWR","545","540",-5,26,606,116,122,91,628,737,5,"741","742","Y"
"2015","1","1","4","F9","365","MKE","DEN","545","621",36,9,630,161,142,120,896,730,13,"726","743","Y"
"2015","1","1","4","F9","117","MSP","DEN","545","538",-7,15,553,129,128,104,680,637,9,"654","646","N"
"2015","1","1","4","OO","2599","DEN","LAX","545","658",73,11,709,150,133,112,862,801,10,"715","811","Y"
"2015","1","1","4","OO","5482","SBA","DEN","545","542",-3,25,607,154,167,134,916,921,8,"919","929","Y"
"2015","1","1","4","HA","218","HNL","KOA","548","540",-8,10,550,42,44,27,163,617,7,"630","624","N"
"2015","1","1","4","B6","515","BOS","BUF","549","540",-9,17,557,96,99,78,395,715,4,"725","719","N"
"2015","1","1","4","UA","228","PDX","EWR","550","547",-3,10,557,314,282,263,2434,1320,9,"1404","1329","N"
"2015","1","1","4","US","641","IND","PHX","550","545",-5,12,557,240,249,234,1488,751,3,"750","754","Y"
"2015","1","1","4","UA","495","LAX","DEN","550","550",0,11,601,145,136,118,862,859,7,"915","906","N"
"2015","1","1","4","UA","507","CLE","IAH","550","629",39,11,640,194,198,170,1091,830,17,"804","847","Y"
"2015","1","1","4","UA","1553","BOS","EWR","550","552",2,12,604,88,67,46,200,650,9,"718","659","N"
"2015","1","1","4","US","403","DEN","PHX","550","550",0,15,605,119,109,91,602,736,3,"749","739","N"
"2015","1","1","4","US","446","MCI","PHX","550","544",-6,15,559,178,179,159,1044,738,5,"748","743","N"
"2015","1","1","4","AA","1178","AUS","DFW","550","548",-2,19,607,60,61,36,190,643,6,"650","649","N"
"2015","1","1","4","AA","2410","LAX","DFW","550","600",10,17,617,180,172,150,1235,1047,5,"1050","1052","Y"
"2015","1","1","4","DL","2453","GSP","ATL","550","550",0,26,616,59,59,28,153,644,5,"649","649","N"
"2015","1","1","4","B6","2228","MCO","EWR","550","548",-2,12,600,149,144,127,937,807,5,"819","812","N"
"2015","1","1","4","EV","4555","MCI","IAH","550","548",-2,15,603,135,138,110,643,753,13,"805","806","Y"
"2015","1","1","4","EV","5698","BDL","IAD","550","543",-7,9,552,88,76,58,326,650,9,"718","659","N"
"2015","1","1","4","EV","4339","RIC","IAH","550","548",-2,14,602,205,220,195,1157,817,11,"815","828","Y"
"2015","1","1","4","OO","6204","BFL","DEN","550","556",6,31,627,150,164,125,845,932,8,"920","940","Y"
"2015","1","1","4","OO","6261","SAT","SFO","550","557",7,9,606,249,223,198,1482,724,16,"759","740","N"
"2015","1","1","4","OO","5160","OMA","IAH","550","605",15,16,621,140,146,120,781,821,10,"810","831","Y"
"2015","1","1","4","OO","6224","RDM","DEN","550","549",-1,12,601,143,150,130,898,911,8,"913","919","Y"
"2015","1","1","4","B6","860","FLL","BDL","553","551",-2,10,601,166,177,162,1173,843,5,"839","848","Y"
"2015","1","1","4","EV","5230","CID","ATL","554","554",0,27,621,131,114,84,694,845,3,"905","848","N"
"2015","1","1","4","WN","526","SFO","DEN","555","553",-2,11,604,150,150,132,967,916,7,"925","923","N"
"2015","1","1","4","UA","1222","MCO","LAX","555","557",2,10,607,341,343,310,2218,817,23,"836","840","Y"
"2015","1","1","4","UA","1507","TPA","EWR","555","549",-6,9,558,156,149,131,997,809,9,"831","818","N"
"2015","1","1","4","AA","1094","SEA","DFW","555","555",0,24,619,235,251,216,1660,1155,11,"1150","1206","Y"
"2015","1","1","4","AA","1233","BOS","DFW","555","551",-4,15,606,275,269,243,1562,909,11,"930","920","N"
"2015","1","1","4","B6","115","SYR","JFK","555","550",-5,27,617,83,75,43,209,700,5,"718","705","N"
"2015","1","1","4","B6","185","ROC","JFK","555","550",-5,20,610,85,73,48,264,658,5,"720","703","N"
"2015","1","1","4","EV","2519","TYR","DFW","555","546",-9,9,555,50,50,25,102,620,16,"645","636","N"
"2015","1","1","4","EV","3928","MCI","ORD","555","554",-1,19,613,94,83,58,403,711,6,"729","717","N"
"2015","1","1","4","EV","3941","LAN","ORD","555","555",0,27,622,69,75,39,179,601,9,"604","610","Y"
"2015","1","1","4","EV","5976","BUF","EWR","555","928",213,38,1006,80,93,48,282,1054,7,"715","1101","Y"
"2015","1","1","4","EV","5677","GSO","EWR","556","538",-18,19,557,94,90,65,445,702,6,"730","708","N"
"2015","1","1","4","NK","224","ORD","LGA","556","547",-9,16,603,124,160,92,733,835,52,"900","927","Y"
"2015","1","1","4","UA","1457","LAX","IAH","557","555",-2,12,607,192,178,160,1379,1047,6,"1109","1053","N"
"2015","1","1","4","AA","1205","EWR","MIA","559","552",-7,22,614,183,177,149,1085,843,6,"902","849","N"
"2015","1","1","4","OO","5547","ONT","DEN","559","758",119,4,802,141,138,123,819,1105,11,"920","1116","Y"
"2015","1","1","4","UA","210","MSP","DEN","600","556",-4,14,610,139,120,100,680,650,6,"719","656","N"
"2015","1","1","4","UA","214","PBI","IAH","600","555",-5,17,612,170,172,146,956,738,9,"750","747","N"
"2015","1","1","4","UA","247","PHX","IAH","600","751",111,31,822,148,160,118,1009,1120,11,"928","1131","Y"
"2015","1","1","4","UA","256","RSW","IAH","600","600",0,13,613,156,155,133,861,726,9,"736","735","N"
"2015","1","1","4","UA","319","EWR","MCO","600","603",3,14,617,173,152,135,937,832,3,"853","835","N"
"2015","1","1","4","UA","374","OMA","ORD","600","612",12,19,631,97,79,57,416,728,3,"737","731","N"
"2015","1","1","4","US","635","SMF","PHX","600","551",-9,24,615,110,131,90,647,845,17,"850","902","Y"
"2015","1","1","4","US","646","OAK","PHX","600","558",-2,28,626,115,125,88,646,854,9,"855","903","Y"
"2015","1","1","4","US","1941","PVD","CLT","600","555",-5,11,606,139,130,114,683,800,5,"819","805","N"
"2015","1","1","4","UA","422","RNO","DEN","600","557",-3,22,619,130,147,120,804,919,5,"910","924","Y"
"2015","1","1","4","UA","544","PIT","IAH","600","622",22,19,641,195,197,175,1117,836,3,"815","839","Y"
"2015","1","1","4","UA","1016","DEN","IAH","600","552",-8,11,603,142,146,114,862,857,21,"922","918","N"
"2015","1","1","4","WN","4122","BOS","BWI","600","556",-4,17,613,105,83,63,369,716,3,"745","719","N"
"2015","1","1","4","WN","4822","LAS","BWI","600","602",2,10,612,270,243,230,2106,1302,3,"1330","1305","N"
"2015","1","1","4","WN","2215","ABQ","HOU","600","607",7,29,636,120,135,103,759,919,3,"900","922","Y"
"2015","1","1","4","WN","676","PHX","SLC","600","601",1,9,610,95,88,76,507,726,3,"735","729","N"
"2015","1","1","4","WN","2787","PIT","FLL","600","559",-1,9,608,170,145,132,994,820,4,"850","824","N"
"2015","1","1","4","WN","4859","PVD","BWI","600","606",6,11,617,100,81,63,327,720,7,"740","727","N"
"2015","1","1","4","WN","597","SFO","ATL","600","554",-6,9,603,280,270,253,2139,1316,8,"1340","1324","N"
"2015","1","1","4","UA","1158","SFO","ORD","600","557",-3,21,618,257,256,222,1846,1200,13,"1217","1213","N"
"2015","1","1","4","UA","1163","MCO","EWR","600","555",-5,10,605,154,141,126,937,811,5,"834","816","N"
"2015","1","1","4","UA","1188","PDX","IAH","600","613",13,11,624,244,242,224,1825,1208,7,"1204","1215","Y"
"2015","1","1","4","UA","1198","BOS","ORD","600","557",-3,13,610,173,165,146,867,736,6,"753","742","N"
"2015","1","1","4","UA","1224","SFO","LAX","600","605",5,11,616,88,72,52,337,708,9,"728","717","N"
"2015","1","1","4","UA","1296","SAT","LAX","600","616",16,10,626,207,188,170,1211,716,8,"727","724","N"
"2015","1","1","4","UA","1431","BOS","LAX","600","603",3,13,616,404,396,376,2611,932,7,"944","939","N"
"2015","1","1","4","UA","1637","SEA","EWR","600","606",6,10,616,311,291,268,2402,1344,13,"1411","1357","N"
"2015","1","1","4","UA","1735","LAX","ORD","600","607",7,13,620,250,227,201,1744,1141,13,"1210","1154","N"
"2015","1","1","4","US","410","IAH","PHX","600","553",-7,14,607,170,173,155,1009,742,4,"750","746","N"
"2015","1","1","4","US","459","MCO","PHX","600","557",-3,13,610,281,294,273,1849,843,8,"841","851","Y"
"2015","1","1","4","US","610","SFO","PHX","600","557",-3,16,613,114,120,87,651,840,17,"854","857","Y"
"2015","1","1","4","AA","72","DFW","MCO","600","606",6,18,624,145,142,120,985,924,4,"925","928","Y"
"2015","1","1","4","AA","196","MIA","PHL","600","604",4,18,622,164,174,148,1013,850,8,"844","858","Y"
"2015","1","1","4","AA","304","SLC","DFW","600","601",1,33,634,170,181,137,989,951,11,"950","1002","Y"
"2015","1","1","4","AA","281","MIA","DFW","600","559",-1,14,613,194,194,166,1121,759,14,"814","813","N"
"2015","1","1","4","AA","233","BWI","MIA","600","643",43,21,704,163,151,124,946,908,6,"843","914","Y"
"2015","1","1","4","AA","1100","DFW","LGA","600","554",-6,33,627,190,191,154,1389,1001,4,"1010","1005","N"
"2015","1","1","4","AA","1028","DEN","ORD","600","601",1,14,615,155,127,106,888,901,7,"935","908","N"
"2015","1","1","4","AA","1039","MCI","DFW","600","606",6,13,619,105,102,80,460,739,9,"745","748","Y"
"2015","1","1","4","AA","1345","TUL","DFW","600","556",-4,12,608,75,68,48,237,656,8,"715","704","N"
"2015","1","1","4","AA","1297","LGA","MIA","600","708",68,17,725,192,174,151,1096,956,6,"912","1002","Y"
"2015","1","1","4","AA","1411","LIT","DFW","600","555",-5,12,607,80,75,56,304,703,7,"720","710","N"
"2015","1","1","4","AA","1084","MIA","LGA","600","558",-2,13,611,175,168,149,1096,840,6,"855","846","N"
"2015","1","1","4","AA","1088","LAS","DFW","600","557",-3,16,613,160,170,128,1055,1021,26,"1040","1047","Y"
"2015","1","1","4","AA","1534","PDX","DFW","600","556",-4,11,607,225,226,206,1616,1133,9,"1145","1142","N"
"2015","1","1","4","AA","1573","TPA","DFW","600","554",-6,10,604,170,156,139,929,723,7,"750","730","N"
"2015","1","1","4","AA","1660","SMF","DFW","600","611",11,29,640,210,230,190,1431,1150,11,"1130","1201","Y"
"2015","1","1","4","AA","2204","MSY","MIA","600","555",-5,12,607,109,101,82,675,829,7,"849","836","N"
"2015","1","1","4","AA","1515","LAX","ORD","600","557",-3,13,610,245,222,202,1744,1132,7,"1205","1139","N"
"2015","1","1","4","AA","2307","OMA","DFW","600","554",-6,30,624,120,131,91,583,755,10,"800","805","Y"
"2015","1","1","4","AA","2363","OKC","DFW","600","610",10,42,652,65,85,39,175,731,4,"705","735","Y"
"2015","1","1","4","AS","81","SEA","ANC","600","557",-3,25,622,234,224,195,1448,837,4,"854","841","N"
"2015","1","1","4","AS","162","FAI","ANC","600","544",-16,26,610,73,80,44,261,654,10,"713","704","N"
"2015","1","1","4","AS","200","SEA","SJC","600","550",-10,21,611,123,124,99,697,750,4,"803","754","N"
"2015","1","1","4","AS","342","SEA","OAK","600","555",-5,11,606,119,108,92,671,738,5,"759","743","N"
"2015","1","1","4","AS","406","PDX","SJC","600","555",-5,8,603,102,94,82,569,725,4,"742","729","N"
"2015","1","1","4","AS","477","LAX","SEA","600","555",-5,21,616,170,166,141,954,837,4,"850","841","N"
"2015","1","1","4","AS","631","PHX","SEA","600","555",-5,10,605,175,168,151,1107,736,7,"755","743","N"
"2015","1","1","4","AS","683","DEN","SEA","600","549",-11,16,605,190,167,137,1024,722,14,"810","736","N"
"2015","1","1","4","AS","699","GEG","SEA","600","558",-2,23,621,75,80,42,224,703,15,"715","718","Y"
"2015","1","1","4","B6","130","RSW","JFK","600","557",-3,10,607,161,162,141,1074,828,11,"841","839","N"
"2015","1","1","4","B6","154","PBI","JFK","600","559",-1,11,610,154,164,141,1028,831,12,"834","843","Y"
"2015","1","1","4","B6","353","JFK","PBI","600","554",-6,16,610,178,162,142,1028,832,4,"858","836","N"
"2015","1","1","4","B6","226","TPA","JFK","600","553",-7,10,603,151,153,130,1005,813,13,"831","826","N"
"2015","1","1","4","B6","272","FLL","LGA","600","559",-1,16,615,161,164,143,1076,838,5,"841","843","Y"
"2015","1","1","4","B6","447","OAK","LGB","600","552",-8,15,607,80,78,60,353,707,3,"720","710","N"
"2015","1","1","4","B6","371","LGA","FLL","600","600",0,22,622,183,177,150,1076,852,5,"903","857","N"
"2015","1","1","4","B6","583","JFK","MCO","600","557",-3,16,613,171,155,135,944,828,4,"851","832","N"
"2015","1","1","4","B6","605","EWR","FLL","600","556",-4,12,608,180,163,145,1065,833,6,"900","839","N"
"2015","1","1","4","B6","525","JFK","TPA","600","554",-6,21,615,181,186,157,1005,852,8,"901","900","N"
"2015","1","1","4","B6","746","PSE","JFK","600","557",-3,9,606,241,239,225,1617,851,5,"901","856","N"
"2015","1","1","4","B6","776","MSY","JFK","600","550",-10,11,601,168,160,140,1182,921,9,"948","930","N"
"2015","1","1","4","B6","794","AUS","JFK","600","559",-1,16,615,203,194,175,1521,1010,3,"1023","1013","N"
"2015","1","1","4","B6","838","BQN","JFK","600","601",1,11,612,232,246,225,1576,857,10,"852","907","Y"
"2015","1","1","4","B6","892","TPA","BOS","600","554",-6,12,606,173,167,151,1185,837,4,"853","841","N"
"2015","1","1","4","B6","1678","JAX","JFK","600","600",0,14,614,128,136,109,828,803,13,"808","816","Y"
"2015","1","1","4","B6","1790","DCA","BOS","600","557",-3,19,616,84,88,62,399,718,7,"724","725","Y"
"2015","1","1","4","DL","421","JFK","ATL","600","605",5,18,623,163,139,117,760,820,4,"843","824","N"
"2015","1","1","4","DL","731","LGA","DTW","600","604",4,10,614,118,113,97,502,751,6,"758","757","N"
"2015","1","1","4","DL","743","RNO","SLC","600","600",0,31,631,100,118,68,422,839,19,"840","858","Y"
"2015","1","1","4","DL","750","BOS","JFK","600","556",-4,20,616,80,76,44,187,700,12,"720","712","N"
"2015","1","1","4","DL","809","BOS","MSP","600","600",0,23,623,210,212,186,1124,829,3,"830","832","Y"
